SD1,sD1,SD2,sD2,SR1,sR1,SR2,sR2
600,350,650,350,350,200,400,150
600,350,650,350,350,200,400,200
600,350,650,350,350,200,400,250
600,350,650,350,350,200,450,100
600,350,650,350,350,200,450,150
600,350,650,350,350,200,450,200
600,350,650,350,350,200,450,250
600,350,650,350,350,250,300,100
600,350,650,350,350,250,300,150
600,350,650,350,350,250,300,200
600,350,650,350,350,250,300,250
600,350,650,350,350,250,350,100
600,350,650,350,350,250,350,150
600,350,650,350,350,250,350,200
600,350,650,350,350,250,350,250
600,350,650,350,350,250,400,100
600,350,650,350,350,250,400,150
600,350,650,350,350,250,400,200
600,350,650,350,350,250,400,250
600,350,650,350,350,250,450,100
600,350,650,350,350,250,450,150
600,350,650,350,350,250,450,200
600,350,650,350,350,250,450,250
600,350,650,350,400,100,300,100
600,350,650,350,400,100,300,150
600,350,650,350,400,100,300,200
600,350,650,350,400,100,300,250
600,350,650,350,400,100,350,100
600,350,650,350,400,100,350,150
600,350,650,350,400,100,350,200
600,350,650,350,400,100,350,250
600,350,650,350,400,100,400,100
600,350,650,350,400,100,400,150
600,350,650,350,400,100,400,200
600,350,650,350,400,100,400,250
600,350,650,350,400,100,450,100
600,350,650,350,400,100,450,150
600,350,650,350,400,100,450,200
600,350,650,350,400,100,450,250
600,350,650,350,400,150,300,100
600,350,650,350,400,150,300,150
600,350,650,350,400,150,300,200
600,350,650,350,400,150,300,250
600,350,650,350,400,150,350,100
600,350,650,350,400,150,350,150
600,350,650,350,400,150,350,200
600,350,650,350,400,150,350,250
600,350,650,350,400,150,400,100
600,350,650,350,400,150,400,150
600,350,650,350,400,150,400,200
600,350,650,350,400,150,400,250
600,350,650,350,400,150,450,100
600,350,650,350,400,150,450,150
600,350,650,350,400,150,450,200
600,350,650,350,400,150,450,250
600,350,650,350,400,200,300,100
600,350,650,350,400,200,300,150
600,350,650,350,400,200,300,200
600,350,650,350,400,200,300,250
600,350,650,350,400,200,350,100
600,350,650,350,400,200,350,150
600,350,650,350,400,200,350,200
600,350,650,350,400,200,350,250
600,350,650,350,400,200,400,100
600,350,650,350,400,200,400,150
600,350,650,350,400,200,400,200
600,350,650,350,400,200,400,250
600,350,650,350,400,200,450,100
600,350,650,350,400,200,450,150
600,350,650,350,400,200,450,200
600,350,650,350,400,200,450,250
600,350,650,350,400,250,300,100
600,350,650,350,400,250,300,150
600,350,650,350,400,250,300,200
600,350,650,350,400,250,300,250
600,350,650,350,400,250,350,100
600,350,650,350,400,250,350,150
600,350,650,350,400,250,350,200
600,350,650,350,400,250,350,250
600,350,650,350,400,250,400,100
600,350,650,350,400,250,400,150
600,350,650,350,400,250,400,200
600,350,650,350,400,250,400,250
600,350,650,350,400,250,450,100
600,350,650,350,400,250,450,150
600,350,650,350,400,250,450,200
600,350,650,350,400,250,450,250
600,350,650,350,450,100,300,100
600,350,650,350,450,100,300,150
600,350,650,350,450,100,300,200
600,350,650,350,450,100,300,250
600,350,650,350,450,100,350,100
600,350,650,350,450,100,350,150
600,350,650,350,450,100,350,200
600,350,650,350,450,100,350,250
600,350,650,350,450,100,400,100
600,350,650,350,450,100,400,150
600,350,650,350,450,100,400,200
600,350,650,350,450,100,400,250
600,350,650,350,450,100,450,100
600,350,650,350,450,100,450,150
600,350,650,350,450,100,450,200
600,350,650,350,450,100,450,250
600,350,650,350,450,150,300,100
600,350,650,350,450,150,300,150
600,350,650,350,450,150,300,200
600,350,650,350,450,150,300,250
600,350,650,350,450,150,350,100
600,350,650,350,450,150,350,150
600,350,650,350,450,150,350,200
600,350,650,350,450,150,350,250
600,350,650,350,450,150,400,100
600,350,650,350,450,150,400,150
600,350,650,350,450,150,400,200
600,350,650,350,450,150,400,250
600,350,650,350,450,150,450,100
600,350,650,350,450,150,450,150
600,350,650,350,450,150,450,200
600,350,650,350,450,150,450,250
600,350,650,350,450,200,300,100
600,350,650,350,450,200,300,150
600,350,650,350,450,200,300,200
600,350,650,350,450,200,300,250
600,350,650,350,450,200,350,100
600,350,650,350,450,200,350,150
600,350,650,350,450,200,350,200
600,350,650,350,450,200,350,250
600,350,650,350,450,200,400,100
600,350,650,350,450,200,400,150
600,350,650,350,450,200,400,200
600,350,650,350,450,200,400,250
600,350,650,350,450,200,450,100
600,350,650,350,450,200,450,150
600,350,650,350,450,200,450,200
600,350,650,350,450,200,450,250
600,350,650,350,450,250,300,100
600,350,650,350,450,250,300,150
600,350,650,350,450,250,300,200
600,350,650,350,450,250,300,250
600,350,650,350,450,250,350,100
600,350,650,350,450,250,350,150
600,350,650,350,450,250,350,200
600,350,650,350,450,250,350,250
600,350,650,350,450,250,400,100
600,350,650,350,450,250,400,150
600,350,650,350,450,250,400,200
600,350,650,350,450,250,400,250
600,350,650,350,450,250,450,100
600,350,650,350,450,250,450,150
600,350,650,350,450,250,450,200
600,350,650,350,450,250,450,250
600,350,650,400,300,100,300,100
600,350,650,400,300,100,300,150
600,350,650,400,300,100,300,200
600,350,650,400,300,100,300,250
600,350,650,400,300,100,350,100
600,350,650,400,300,100,350,150
600,350,650,400,300,100,350,200
600,350,650,400,300,100,350,250
600,350,650,400,300,100,400,100
600,350,650,400,300,100,400,150
600,350,650,400,300,100,400,200
600,350,650,400,300,100,400,250
600,350,650,400,300,100,450,100
600,350,650,400,300,100,450,150
600,350,650,400,300,100,450,200
600,350,650,400,300,100,450,250
600,350,650,400,300,150,300,100
600,350,650,400,300,150,300,150
600,350,650,400,300,150,300,200
600,350,650,400,300,150,300,250
600,350,650,400,300,150,350,100
600,350,650,400,300,150,350,150
600,350,650,400,300,150,350,200
600,350,650,400,300,150,350,250
600,350,650,400,300,150,400,100
600,350,650,400,300,150,400,150
600,350,650,400,300,150,400,200
600,350,650,400,300,150,400,250
600,350,650,400,300,150,450,100
600,350,650,400,300,150,450,150
600,350,650,400,300,150,450,200
600,350,650,400,300,150,450,250
600,350,650,400,300,200,300,100
600,350,650,400,300,200,300,150
600,350,650,400,300,200,300,200
600,350,650,400,300,200,300,250
600,350,650,400,300,200,350,100
600,350,650,400,300,200,350,150
600,350,650,400,300,200,350,200
600,350,650,400,300,200,350,250
600,350,650,400,300,200,400,100
600,350,650,400,300,200,400,150
600,350,650,400,300,200,400,200
600,350,650,400,300,200,400,250
600,350,650,400,300,200,450,100
600,350,650,400,300,200,450,150
600,350,650,400,300,200,450,200
600,350,650,400,300,200,450,250
600,350,650,400,300,250,300,100
600,350,650,400,300,250,300,150
600,350,650,400,300,250,300,200
600,350,650,400,300,250,300,250
600,350,650,400,300,250,350,100
600,350,650,400,300,250,350,150
600,350,650,400,300,250,350,200
600,350,650,400,300,250,350,250
600,350,650,400,300,250,400,100
600,350,650,400,300,250,400,150
600,350,650,400,300,250,400,200
600,350,650,400,300,250,400,250
600,350,650,400,300,250,450,100
600,350,650,400,300,250,450,150
600,350,650,400,300,250,450,200
600,350,650,400,300,250,450,250
600,350,650,400,350,100,300,100
600,350,650,400,350,100,300,150
600,350,650,400,350,100,300,200
600,350,650,400,350,100,300,250
600,350,650,400,350,100,350,100
600,350,650,400,350,100,350,150
600,350,650,400,350,100,350,200
600,350,650,400,350,100,350,250
600,350,650,400,350,100,400,100
600,350,650,400,350,100,400,150
600,350,650,400,350,100,400,200
600,350,650,400,350,100,400,250
600,350,650,400,350,100,450,100
600,350,650,400,350,100,450,150
600,350,650,400,350,100,450,200
600,350,650,400,350,100,450,250
600,350,650,400,350,150,300,100
600,350,650,400,350,150,300,150
600,350,650,400,350,150,300,200
600,350,650,400,350,150,300,250
600,350,650,400,350,150,350,100
600,350,650,400,350,150,350,150
600,350,650,400,350,150,350,200
600,350,650,400,350,150,350,250
600,350,650,400,350,150,400,100
600,350,650,400,350,150,400,150
600,350,650,400,350,150,400,200
600,350,650,400,350,150,400,250
600,350,650,400,350,150,450,100
600,350,650,400,350,150,450,150
600,350,650,400,350,150,450,200
600,350,650,400,350,150,450,250
600,350,650,400,350,200,300,100
600,350,650,400,350,200,300,150
600,350,650,400,350,200,300,200
600,350,650,400,350,200,300,250
600,350,650,400,350,200,350,100
600,350,650,400,350,200,350,150
600,350,650,400,350,200,350,200
600,350,650,400,350,200,350,250
600,350,650,400,350,200,400,100
600,350,650,400,350,200,400,150
600,350,650,400,350,200,400,200
600,350,650,400,350,200,400,250
600,350,650,400,350,200,450,100
600,350,650,400,350,200,450,150
600,350,650,400,350,200,450,200
600,350,650,400,350,200,450,250
600,350,650,400,350,250,300,100
600,350,650,400,350,250,300,150
600,350,650,400,350,250,300,200
600,350,650,400,350,250,300,250
600,350,650,400,350,250,350,100
600,350,650,400,350,250,350,150
600,350,650,400,350,250,350,200
600,350,650,400,350,250,350,250
600,350,650,400,350,250,400,100
600,350,650,400,350,250,400,150
600,350,650,400,350,250,400,200
600,350,650,400,350,250,400,250
600,350,650,400,350,250,450,100
600,350,650,400,350,250,450,150
